InstitutionCode,CollectionCode,CatalogNumber,IndividualCount,ScientificName,Family,PreparationType,Tissues,Latitude,Longitude,CoordinateUncertaintyInMeters,HorizontalDatum,Country,StateProvince,County,Island,IslandGroup,Locality,VerbatimElevation,VerbatimDepth,YearCollected,MonthCollected,DayCollected,Collector,GeorefMethod,LatLongComments,BasisOfRecord,Remarks,DateLastModified
MSB,Fish specimens,MSB:Fish:45440,1,Ptychocheilus lucius,Cyprinidae,"whole organism (formalin-fixed, 70% ethanol)",,36.982574,-108.985931,,World Geodetic System 1984,United States,New Mexico,San Juan County,,,"San Juan River, 0.2 miles upstream of the Mancos River confluence.",,,1998,05,06,Collector(s): Dale W. Ryden,not recorded,,PreservedSpecimen,Storage: 70% EtOH; NO OTHER DATA ASSOCIATED WITH SPECIMEN; Pit tagged: IF5B624C58  Did not recover from electroshocking.,2019-05-27 05:25:48.0
MSB,Fish specimens,MSB:Fish:97752,2,Ptychocheilus lucius,Cyprinidae,whole organism (95% ethanol),,37.217577,-109.204751,,North American Datum 1927,United States,Utah,San Juan County,,,"San Juan River, 1.0 mile downstream of Aneth.",,.2 meters,2014,07,16,"Collector(s): Jennifer L. Kennedy, Austin L. Fitzgerald",not recorded,,PreservedSpecimen,"San Juan River 2014 Larval Colorado Pikeminnow and Razorback Sucker Survey; verbatim collectors: Jennifer L. Kennedy, Austin L. Fitzgerald",2019-05-27 05:59:02.0
MSB,Fish specimens,MSB:Fish:63278,1,Ptychocheilus lucius,Cyprinidae,"whole organism (formalin-fixed, 70% ethanol)",,37.2276319,-109.2231871,,North American Datum 1927,United States,Utah,San Juan County,,,"San Juan River, 2.0 miles downstream of Aneth.",,.44 meters,2007,04,19,"Collector(s): Conner C. McBride, Nathan B. Zerbe",not recorded,,PreservedSpecimen,"ASIR San Juan River 2007 Larval Razorback Sucker Survey; verbatim collectors: Conner C. McBride, Nathan B. Zerbe",2019-05-27 07:15:47.0
MSB,Fish specimens,MSB:Fish:80313,1,Ptychocheilus lucius,Cyprinidae,whole organism (5% buffered formalin),,37.29138964,-110.3994527,,World Geodetic System 1984,United States,Utah,San Juan County,,,"San Juan River, 0.1 miles upstream of Clay Hills, where Recreation Road 430 or Whirlwind Crossing meets the river, 11.0 miles from UT State HWY 263, near Glen Canyon Recreational Area.",,,1999,07,10,Collector(s): L. Saunders,not recorded,,PreservedSpecimen,MSB San Juan River Artificial Egg Release Study Incidental Fish Collections,2019-05-27 06:00:37.0
MSB,Fish specimens,MSB:Fish:80316,1,Ptychocheilus lucius,Cyprinidae,whole organism (5% buffered formalin),,37.29138964,-110.3994527,,World Geodetic System 1984,United States,Utah,San Juan County,,,"San Juan River, 0.1 miles upstream of Clay Hills, where Recreation Road 430 or Whirlwind Crossing meets the river, 11.0 miles from UT State HWY 263, near Glen Canyon Recreational Area.",,,1999,07,10,Collector(s): L. Saunders,not recorded,,PreservedSpecimen,MSB San Juan River Artificial Egg Release Study Incidental Fish Collections,2019-05-27 06:00:37.0
MSB,Fish specimens,MSB:Fish:80315,1,Ptychocheilus lucius,Cyprinidae,whole organism (5% buffered formalin),,37.29138964,-110.3994527,,World Geodetic System 1984,United States,Utah,San Juan County,,,"San Juan River, 0.1 miles upstream of Clay Hills, where Recreation Road 430 or Whirlwind Crossing meets the river, 11.0 miles from UT State HWY 263, near Glen Canyon Recreational Area.",,,1999,07,10,Collector(s): L. Saunders,not recorded,,PreservedSpecimen,MSB San Juan River Artificial Egg Release Study Incidental Fish Collections,2019-05-27 06:00:37.0
MSB,Fish specimens,MSB:Fish:80310,1,Ptychocheilus lucius,Cyprinidae,whole organism (5% buffered formalin),,37.29138964,-110.3994527,,World Geodetic System 1984,United States,Utah,San Juan County,,,"San Juan River, 0.1 miles upstream of Clay Hills, where Recreation Road 430 or Whirlwind Crossing meets the river, 11.0 miles from UT State HWY 263, near Glen Canyon Recreational Area.",,,1999,07,10,Collector(s): Michael A. Farrington,not recorded,,PreservedSpecimen,MSB San Juan River Artificial Egg Release Study Incidental Fish Collections,2019-05-27 06:00:37.0
MSB,Fish specimens,MSB:Fish:80314,1,Ptychocheilus lucius,Cyprinidae,whole organism (5% buffered formalin),,37.29138964,-110.3994527,,World Geodetic System 1984,United States,Utah,San Juan County,,,"San Juan River, 0.1 miles upstream of Clay Hills, where Recreation Road 430 or Whirlwind Crossing meets the river, 11.0 miles from UT State HWY 263, near Glen Canyon Recreational Area.",,,1999,07,10,Collector(s): L. Saunders,not recorded,,PreservedSpecimen,MSB San Juan River Artificial Egg Release Study Incidental Fish Collections,2019-05-27 06:00:37.0
MSB,Fish specimens,MSB:Fish:80321,1,Ptychocheilus lucius,Cyprinidae,whole organism (5% buffered formalin),,37.29138964,-110.3994527,,World Geodetic System 1984,United States,Utah,San Juan County,,,"San Juan River, 0.1 miles upstream of Clay Hills, where Recreation Road 430 or Whirlwind Crossing meets the river, 11.0 miles from UT State HWY 263, near Glen Canyon Recreational Area.",,,1999,07,10,Collector(s): James N. Stuart,not recorded,,PreservedSpecimen,MSB San Juan River Artificial Egg Release Study Incidental Fish Collections,2019-05-27 06:00:37.0
MSB,Fish specimens,MSB:Fish:80320,1,Ptychocheilus lucius,Cyprinidae,whole organism (5% buffered formalin),,37.29138964,-110.3994527,,World Geodetic System 1984,United States,Utah,San Juan County,,,"San Juan River, 0.1 miles upstream of Clay Hills, where Recreation Road 430 or Whirlwind Crossing meets the river, 11.0 miles from UT State HWY 263, near Glen Canyon Recreational Area.",,,1999,07,10,Collector(s): James N. Stuart,not recorded,,PreservedSpecimen,MSB San Juan River Artificial Egg Release Study Incidental Fish Collections,2019-05-27 06:00:37.0
MSB,Fish specimens,MSB:Fish:80319,5,Ptychocheilus lucius,Cyprinidae,whole organism (5% buffered formalin),,37.29138964,-110.3994527,,World Geodetic System 1984,United States,Utah,San Juan County,,,"San Juan River, 0.1 miles upstream of Clay Hills, where Recreation Road 430 or Whirlwind Crossing meets the river, 11.0 miles from UT State HWY 263, near Glen Canyon Recreational Area.",,,1999,07,10,Collector(s): James N. Stuart,not recorded,,PreservedSpecimen,MSB San Juan River Artificial Egg Release Study Incidental Fish Collections,2019-05-27 06:00:37.0
MSB,Fish specimens,MSB:Fish:80318,1,Ptychocheilus lucius,Cyprinidae,whole organism (5% buffered formalin),,37.29138964,-110.3994527,,World Geodetic System 1984,United States,Utah,San Juan County,,,"San Juan River, 0.1 miles upstream of Clay Hills, where Recreation Road 430 or Whirlwind Crossing meets the river, 11.0 miles from UT State HWY 263, near Glen Canyon Recreational Area.",,,1999,07,10,Collector(s): L. Saunders,not recorded,,PreservedSpecimen,MSB San Juan River Artificial Egg Release Study Incidental Fish Collections,2019-05-27 06:00:37.0
MSB,Fish specimens,MSB:Fish:80317,1,Ptychocheilus lucius,Cyprinidae,whole organism (5% buffered formalin),,37.29138964,-110.3994527,,World Geodetic System 1984,United States,Utah,San Juan County,,,"San Juan River, 0.1 miles upstream of Clay Hills, where Recreation Road 430 or Whirlwind Crossing meets the river, 11.0 miles from UT State HWY 263, near Glen Canyon Recreational Area.",,,1999,07,10,Collector(s): L. Saunders,not recorded,,PreservedSpecimen,MSB San Juan River Artificial Egg Release Study Incidental Fish Collections,2019-05-27 06:00:37.0
MSB,Fish specimens,MSB:Fish:66836,1,Ptychocheilus lucius,Cyprinidae,"whole organism (formalin-fixed, 55% isopropanol)",,40.52176,-109.154277,,World Geodetic System 1984,United States,Utah,Uintah County,,,"Utah: Uintah Co., Colorado Drainage. Green R. at Island Park. Collector(s): C.D. Vanicek",,,1964,08,20,"Collector(s): C. D. Vanicek, USGS Biological Survey Fort Collins",not recorded,,PreservedSpecimen,"Kind_Type: TANK; Calcfld: USGS 9; Storage: 50% ISOP, USGS 9; ; in USGS Tank 9; metal tag 1626; methylmercury study.  See attached info.  July 2009",2019-05-27 02:32:54.0
MSB,Fish specimens,MSB:Fish:66840,1,Ptychocheilus lucius,Cyprinidae,"whole organism (formalin-fixed, 55% isopropanol)",,40.52176,-109.154277,,World Geodetic System 1984,United States,Utah,Uintah County,,,"Utah: Uintah Co., Colorado Drainage. Green R. at Island Park. Collector(s): C.D. Vanicek",,,1965,06,07,"Collector(s): C. D. Vanicek, USGS Biological Survey Fort Collins",not recorded,,PreservedSpecimen,"USGS Fort Collins CO Biological Survey Collections; verbatim collectors: C. D. Vanicek, USGS Biological Survey Fort Collins",2019-05-27 02:38:43.0
MSB,Fish specimens,MSB:Fish:66763,1,Ptychocheilus lucius,Cyprinidae,"whole organism (formalin-fixed, 55% isopropanol)",,40.52176,-109.154277,,World Geodetic System 1984,United States,Utah,Uintah County,,,"Utah: Uintah Co., Colorado Drainage. Green R. at Island Park. Collector(s): D.R. Franklin",,,1963,07,16,"Collector(s): D. R. Franklin, USGS Biological Survey Fort Collins",not recorded,,PreservedSpecimen,"Kind_Type: TANK; Calcfld: USGS 7; Storage: 50% ISOP, USGS 7; ; in USGS Tank 7; metal tag 146; methylmercury study.  See attached info.  July 2009",2019-05-27 05:10:53.0
MSB,Fish specimens,MSB:Fish:66784,1,Ptychocheilus lucius,Cyprinidae,"whole organism (formalin-fixed, 55% isopropanol)",,40.52176,-109.154277,,World Geodetic System 1984,United States,Utah,Uintah County,,,"Utah: Uintah Co., Colorado Drainage. Green R. at Island Park. Collector(s): C.D. Vanicek",,,1964,07,31,"Collector(s): C. D. Vanicek, USGS Biological Survey Fort Collins",not recorded,,PreservedSpecimen,"Kind_Type: TANK; Calcfld: USGS 7; Storage: 50% ISOP, USGS 7; tag on fish says ""old study area""; in USGS Tank 7; metal tag 1341; methylmercury study.  See attached info.  July 2009",2019-05-27 05:10:54.0
MSB,Fish specimens,MSB:Fish:66841,1,Ptychocheilus lucius,Cyprinidae,"whole organism (formalin-fixed, 55% isopropanol)",,40.52176,-109.154277,,World Geodetic System 1984,United States,Utah,Uintah County,,,"Utah: Uintah Co., Colorado Drainage. Green R. at Island Park. Collector(s): C.D. Vanicek",,,1965,07,18,"Collector(s): C. D. Vanicek, USGS Biological Survey Fort Collins",not recorded,,PreservedSpecimen,"USGS Fort Collins CO Biological Survey Collections; verbatim collectors: C. D. Vanicek, USGS Biological Survey Fort Collins",2019-05-27 05:21:51.0
MSB,Fish specimens,MSB:Fish:80174,1,Ptychocheilus lucius,Cyprinidae,whole organism (5% buffered formalin),,36.835955,-108.746812,,World Geodetic System 1984,United States,New Mexico,San Juan County,,,"San Juan River, at Cudei irrigation diversion dam site, 5.9 miles downstream from Shiprock bridge or where US HWY 64 crosses the river.",,,1999,07,08,"Collector(s): Melissa Trammell, M. Arra",not recorded,,PreservedSpecimen,"MSB San Juan River Artificial Egg Release Study Incidental Fish Collections; verbatim collectors: Melissa Trammell, M. Arra",2019-05-27 05:30:35.0
MSB,Fish specimens,MSB:Fish:80191,1,Ptychocheilus lucius,Cyprinidae,whole organism (5% buffered formalin),,36.835955,-108.746812,,World Geodetic System 1984,United States,New Mexico,San Juan County,,,"San Juan River, at Cudei irrigation diversion dam site, 5.9 miles downstream from Shiprock bridge or where US HWY 64 crosses the river.",,,1999,07,08,Collector(s): M. Arra,not recorded,,PreservedSpecimen,MSB San Juan River Artificial Egg Release Study Incidental Fish Collections,2019-05-27 08:13:35.0
MSB,Fish specimens,MSB:Fish:80189,1,Ptychocheilus lucius,Cyprinidae,whole organism (5% buffered formalin),,36.835955,-108.746812,,World Geodetic System 1984,United States,New Mexico,San Juan County,,,"San Juan River, at Cudei irrigation diversion dam site, 5.9 miles downstream from Shiprock bridge or where US HWY 64 crosses the river.",,,1999,07,08,Collector(s): M. Arra,not recorded,,PreservedSpecimen,MSB San Juan River Artificial Egg Release Study Incidental Fish Collections,2019-05-27 08:13:35.0
MSB,Fish specimens,MSB:Fish:80193,2,Ptychocheilus lucius,Cyprinidae,whole organism (5% buffered formalin),,36.835955,-108.746812,,World Geodetic System 1984,United States,New Mexico,San Juan County,,,"San Juan River, at Cudei irrigation diversion dam site, 5.9 miles downstream from Shiprock bridge or where US HWY 64 crosses the river.",,,1999,07,08,Collector(s): M. Arra,not recorded,,PreservedSpecimen,MSB San Juan River Artificial Egg Release Study Incidental Fish Collections,2019-05-27 08:13:35.0
MSB,Fish specimens,MSB:Fish:80192,2,Ptychocheilus lucius,Cyprinidae,whole organism (5% buffered formalin),,36.835955,-108.746812,,World Geodetic System 1984,United States,New Mexico,San Juan County,,,"San Juan River, at Cudei irrigation diversion dam site, 5.9 miles downstream from Shiprock bridge or where US HWY 64 crosses the river.",,,1999,07,08,Collector(s): M. Arra,not recorded,,PreservedSpecimen,MSB San Juan River Artificial Egg Release Study Incidental Fish Collections,2019-05-27 08:13:35.0
MSB,Fish specimens,MSB:Fish:80187,2,Ptychocheilus lucius,Cyprinidae,whole organism (5% buffered formalin),,36.835955,-108.746812,,World Geodetic System 1984,United States,New Mexico,San Juan County,,,"San Juan River, at Cudei irrigation diversion dam site, 5.9 miles downstream from Shiprock bridge or where US HWY 64 crosses the river.",,,1999,07,08,Collector(s): M. Arra,not recorded,,PreservedSpecimen,MSB San Juan River Artificial Egg Release Study Incidental Fish Collections,2019-05-27 08:13:35.0
MSB,Fish specimens,MSB:Fish:80181,1,Ptychocheilus lucius,Cyprinidae,whole organism (5% buffered formalin),,36.835955,-108.746812,,World Geodetic System 1984,United States,New Mexico,San Juan County,,,"San Juan River, at Cudei irrigation diversion dam site, 5.9 miles downstream from Shiprock bridge or where US HWY 64 crosses the river.",,,1999,07,08,Collector(s): M. Arra,not recorded,,PreservedSpecimen,MSB San Juan River Artificial Egg Release Study Incidental Fish Collections,2019-05-27 08:13:35.0
MSB,Fish specimens,MSB:Fish:80139,2,Ptychocheilus lucius,Cyprinidae,whole organism (5% buffered formalin),,36.835955,-108.746812,,World Geodetic System 1984,United States,New Mexico,San Juan County,,,"San Juan River, at Cudei irrigation diversion dam site, 5.9 miles downstream from Shiprock bridge or where US HWY 64 crosses the river.",,,1999,07,08,Collector(s): Melissa Trammell,not recorded,,PreservedSpecimen,MSB San Juan River Artificial Egg Release Study Incidental Fish Collections,2019-05-27 08:13:35.0
MSB,Fish specimens,MSB:Fish:80149,1,Ptychocheilus lucius,Cyprinidae,whole organism (5% buffered formalin),,36.835955,-108.746812,,World Geodetic System 1984,United States,New Mexico,San Juan County,,,"San Juan River, at Cudei irrigation diversion dam site, 5.9 miles downstream from Shiprock bridge or where US HWY 64 crosses the river.",,,1999,07,08,Collector(s): Melissa Trammell,not recorded,,PreservedSpecimen,MSB San Juan River Artificial Egg Release Study Incidental Fish Collections,2019-05-27 08:13:35.0
MSB,Fish specimens,MSB:Fish:80142,1,Ptychocheilus lucius,Cyprinidae,whole organism (5% buffered formalin),,36.835955,-108.746812,,World Geodetic System 1984,United States,New Mexico,San Juan County,,,"San Juan River, at Cudei irrigation diversion dam site, 5.9 miles downstream from Shiprock bridge or where US HWY 64 crosses the river.",,,1999,07,08,Collector(s): Melissa Trammell,not recorded,,PreservedSpecimen,MSB San Juan River Artificial Egg Release Study Incidental Fish Collections,2019-05-27 08:13:35.0
MSB,Fish specimens,MSB:Fish:80146,3,Ptychocheilus lucius,Cyprinidae,whole organism (5% buffered formalin),,36.835955,-108.746812,,World Geodetic System 1984,United States,New Mexico,San Juan County,,,"San Juan River, at Cudei irrigation diversion dam site, 5.9 miles downstream from Shiprock bridge or where US HWY 64 crosses the river.",,,1999,07,08,Collector(s): Melissa Trammell,not recorded,,PreservedSpecimen,MSB San Juan River Artificial Egg Release Study Incidental Fish Collections,2019-05-27 08:13:35.0
MSB,Fish specimens,MSB:Fish:80177,1,Ptychocheilus lucius,Cyprinidae,whole organism (5% buffered formalin),,36.835955,-108.746812,,World Geodetic System 1984,United States,New Mexico,San Juan County,,,"San Juan River, at Cudei irrigation diversion dam site, 5.9 miles downstream from Shiprock bridge or where US HWY 64 crosses the river.",,,1999,07,08,Collector(s): M. Arra,not recorded,,PreservedSpecimen,MSB San Juan River Artificial Egg Release Study Incidental Fish Collections,2019-05-27 08:13:35.0
MSB,Fish specimens,MSB:Fish:80170,5,Ptychocheilus lucius,Cyprinidae,whole organism (5% buffered formalin),,36.835955,-108.746812,,World Geodetic System 1984,United States,New Mexico,San Juan County,,,"San Juan River, at Cudei irrigation diversion dam site, 5.9 miles downstream from Shiprock bridge or where US HWY 64 crosses the river.",,,1999,07,08,Collector(s): Melissa Trammell,not recorded,,PreservedSpecimen,MSB San Juan River Artificial Egg Release Study Incidental Fish Collections,2019-05-27 08:13:35.0
MSB,Fish specimens,MSB:Fish:80184,1,Ptychocheilus lucius,Cyprinidae,whole organism (5% buffered formalin),,36.835955,-108.746812,,World Geodetic System 1984,United States,New Mexico,San Juan County,,,"San Juan River, at Cudei irrigation diversion dam site, 5.9 miles downstream from Shiprock bridge or where US HWY 64 crosses the river.",,,1999,07,08,Collector(s): M. Arra,not recorded,,PreservedSpecimen,MSB San Juan River Artificial Egg Release Study Incidental Fish Collections,2019-05-27 08:13:35.0
MSB,Fish specimens,MSB:Fish:80166,10,Ptychocheilus lucius,Cyprinidae,whole organism (5% buffered formalin),,36.835955,-108.746812,,World Geodetic System 1984,United States,New Mexico,San Juan County,,,"San Juan River, at Cudei irrigation diversion dam site, 5.9 miles downstream from Shiprock bridge or where US HWY 64 crosses the river.",,,1999,07,08,Collector(s): Melissa Trammell,not recorded,,PreservedSpecimen,MSB San Juan River Artificial Egg Release Study Incidental Fish Collections,2019-05-27 08:13:35.0
MSB,Fish specimens,MSB:Fish:80159,2,Ptychocheilus lucius,Cyprinidae,whole organism (5% buffered formalin),,36.835955,-108.746812,,World Geodetic System 1984,United States,New Mexico,San Juan County,,,"San Juan River, at Cudei irrigation diversion dam site, 5.9 miles downstream from Shiprock bridge or where US HWY 64 crosses the river.",,,1999,07,08,Collector(s): Melissa Trammell,not recorded,,PreservedSpecimen,MSB San Juan River Artificial Egg Release Study Incidental Fish Collections,2019-05-27 08:13:35.0
MSB,Fish specimens,MSB:Fish:80156,12,Ptychocheilus lucius,Cyprinidae,whole organism (5% buffered formalin),,36.835955,-108.746812,,World Geodetic System 1984,United States,New Mexico,San Juan County,,,"San Juan River, at Cudei irrigation diversion dam site, 5.9 miles downstream from Shiprock bridge or where US HWY 64 crosses the river.",,,1999,07,08,Collector(s): Melissa Trammell,not recorded,,PreservedSpecimen,MSB San Juan River Artificial Egg Release Study Incidental Fish Collections,2019-05-27 08:13:35.0
MSB,Fish specimens,MSB:Fish:80153,6,Ptychocheilus lucius,Cyprinidae,whole organism (5% buffered formalin),,36.835955,-108.746812,,World Geodetic System 1984,United States,New Mexico,San Juan County,,,"San Juan River, at Cudei irrigation diversion dam site, 5.9 miles downstream from Shiprock bridge or where US HWY 64 crosses the river.",,,1999,07,08,Collector(s): Melissa Trammell,not recorded,,PreservedSpecimen,MSB San Juan River Artificial Egg Release Study Incidental Fish Collections,2019-05-27 08:13:35.0
MSB,Fish specimens,MSB:Fish:80162,7,Ptychocheilus lucius,Cyprinidae,whole organism (5% buffered formalin),,36.835955,-108.746812,,World Geodetic System 1984,United States,New Mexico,San Juan County,,,"San Juan River, at Cudei irrigation diversion dam site, 5.9 miles downstream from Shiprock bridge or where US HWY 64 crosses the river.",,,1999,07,08,Collector(s): Melissa Trammell,not recorded,,PreservedSpecimen,MSB San Juan River Artificial Egg Release Study Incidental Fish Collections,2019-05-27 08:13:35.0
MSB,Fish specimens,MSB:Fish:80197,1,Ptychocheilus lucius,Cyprinidae,whole organism (5% buffered formalin),,36.835955,-108.746812,,World Geodetic System 1984,United States,New Mexico,San Juan County,,,"San Juan River, at Cudei irrigation diversion dam site, 5.9 miles downstream from Shiprock bridge or where US HWY 64 crosses the river.",,,1999,07,08,Collector(s): unknown,not recorded,,PreservedSpecimen,MSB San Juan River Artificial Egg Release Study Incidental Fish Collections,2019-05-27 08:13:35.0
MSB,Fish specimens,MSB:Fish:80195,1,Ptychocheilus lucius,Cyprinidae,whole organism (5% buffered formalin),,36.835955,-108.746812,,World Geodetic System 1984,United States,New Mexico,San Juan County,,,"San Juan River, at Cudei irrigation diversion dam site, 5.9 miles downstream from Shiprock bridge or where US HWY 64 crosses the river.",,,1999,07,08,Collector(s): M. Arra,not recorded,,PreservedSpecimen,"MSB San Juan River Artificial Egg Release Study Incidental Fish Collections; verbatim collectors: M. Arra, ST",2019-05-27 08:20:18.0
MSB,Fish specimens,MSB:Fish:15447,2,Ptychocheilus lucius,Cyprinidae,"whole organism (formalin-fixed, 70% ethanol)",,37.2760164,-110.4216743,,World Geodetic System 1984,United States,Utah,San Juan County,,,"San Juan River, 1.0 miles upstream of Paiute Farms Marina, Glen Canyon National Recreation Area.",,.4572 meters,1993,10,12,Collector(s): Kirk Lashmett,not recorded,,PreservedSpecimen,USBR (Colorado) San Juan River 1991-1993 Survey,2019-05-27 04:04:24.0
MSB,Fish specimens,MSB:Fish:46156,10,Ptychocheilus lucius,Cyprinidae,"whole organism (formalin-fixed, 70% ethanol)",,,,,,United States,,,,,"San Juan River, exact locality unknown.",,,2000,06,11,Collector(s): Steven M. Meismer,,,PreservedSpecimen,MSB and UDWR San Juan River Larval Fishes 2000 Survey; Fishes received without a field number on bag or any other indication of where collected.,2019-05-27 05:20:34.0
