InstitutionCode,CollectionCode,CatalogNumber,IndividualCount,ScientificName,Family,PreparationType,Tissues,Latitude,Longitude,CoordinateUncertaintyInMeters,HorizontalDatum,Country,StateProvince,County,Island,IslandGroup,Locality,VerbatimElevation,VerbatimDepth,YearCollected,MonthCollected,DayCollected,Collector,GeorefMethod,LatLongComments,BasisOfRecord,Remarks,DateLastModified
MSB,Fish specimens,MSB:Fish:52592,1,Xyrauchen texanus,Catostomidae,"whole organism (formalin-fixed, 70% ethanol)",,36.9409749,-108.9803852,,North American Datum 1927,United States,New Mexico,San Juan County,,,"San Juan River, 3.4 miles upstream of the Mancos River confluence.",,.18 meters,2004,06,09,"Collector(s): W. H. Brandenburg, Conner C. McBride",not recorded,,PreservedSpecimen,"MSB San Juan River 2004 Larval Razorback Sucker Survey; verbatim collectors: W. Howard Brandenburg, Conner C. McBride",2019-05-27 03:36:35.0
MSB,Fish specimens,MSB:Fish:61438,3,Xyrauchen texanus,Catostomidae,"whole organism (formalin-fixed, 70% ethanol)",,37.2968781,-110.2269483,,North American Datum 1927,United States,Utah,San Juan County,,,"San Juan River, 10.1 miles upstream of Clay Hills, where Recreation Road 430 or Whirlwind Crossing meets the river, 11.0 miles from UT State HWY 263.",,.62 meters,2006,05,30,"Collector(s): W. H. Brandenburg, Michael A. Farrington",not recorded,,PreservedSpecimen,"ASIR San Juan River 2006 Larval Razorback Sucker Survey; verbatim collectors: W. Howard Brandenburg, Michael A. Farrington",2019-05-27 03:21:04.0
MSB,Fish specimens,MSB:Fish:97485,3,Xyrauchen texanus,Catostomidae,whole organism (95% ethanol),,37.304372,-110.216392,,North American Datum 1927,United States,Utah,San Juan County,,,"San Juan River, 11.0 miles upstream of Clay Hills, where Recreation Road 430 or Whirlwind Crossing meets the river.",,.6 meters,2014,05,22,"Collector(s): Jennifer L. Kennedy, Austin L. Fitzgerald",not recorded,,PreservedSpecimen,"San Juan River 2014 Larval Colorado Pikeminnow and Razorback Sucker Survey; verbatim collectors: Jennifer L. Kennedy, Austin L. Fitzgerald",2019-05-27 05:31:40.0
MSB,Fish specimens,MSB:Fish:47805,5,Xyrauchen texanus,Catostomidae,"whole organism (formalin-fixed, 70% ethanol)",,37.27133333,-109.3874444,,World Geodetic System 1984,United States,Utah,San Juan County,,,"San Juan River, 11.8 miles downstream of Aneth.",,.21 meters-.88 meters,2000,05,10,"Collector(s): W. H. Brandenburg, Donald E. Gibson",not recorded,,PreservedSpecimen,"MSB San Juan River 2000 Larval Razorback Sucker Survey; verbatim collectors: W. Howard Brandenburg, Donald E. Gibson",2019-05-27 02:21:34.0
MSB,Fish specimens,MSB:Fish:47814,3,Xyrauchen texanus,Catostomidae,"whole organism (formalin-fixed, 70% ethanol)",,37.27380556,-109.4493889,,World Geodetic System 1984,United States,Utah,San Juan County,,,"San Juan River, 9.2 miles upstream of the Sand Island Campground docking area, off UT State HWY 163.",,.2 meters-.55 meters,2000,05,11,"Collector(s): W. H. Brandenburg, Donald E. Gibson",not recorded,,PreservedSpecimen,"MSB San Juan River 2000 Larval Razorback Sucker Survey; verbatim collectors: W. Howard Brandenburg, Donald E. Gibson",2019-05-27 02:46:17.0
MSB,Fish specimens,MSB:Fish:97612,2,Xyrauchen texanus,Catostomidae,whole organism (95% ethanol),,37.272137,-109.407237,,North American Datum 1927,United States,Utah,San Juan County,,,"San Juan River, 11.6 miles upstream of the Sand Island Campground docking area, off UT State HWY 163.",,.19 meters,2014,06,25,"Collector(s): W. H. Brandenburg, Rachel E. Grey",not recorded,,PreservedSpecimen,"San Juan River 2014 Larval Colorado Pikeminnow and Razorback Sucker Survey; verbatim collectors: W. Howard Brandenburg, Rachel E. Grey",2019-05-27 05:44:33.0
MSB,Fish specimens,MSB:Fish:63595,1,Xyrauchen texanus,Catostomidae,"whole organism (formalin-fixed, 70% ethanol)",,36.926459,-108.950105,,North American Datum 1927,United States,New Mexico,San Juan County,,,"San Juan River, 5.5 miles upstream of the Mancos River confluence.",,.68 meters,2007,06,13,"Collector(s): Conner C. McBride, Austin L. Fitzgerald",not recorded,,PreservedSpecimen,"ASIR San Juan River 2007 Larval Razorback Sucker Survey; verbatim collectors: Conner C. McBride, Austin L. Fitzgerald",2019-05-27 07:11:21.0
MSB,Fish specimens,MSB:Fish:86194,5,Xyrauchen texanus,Catostomidae,whole organism (95% ethanol),,37.28463,-109.471962,,North American Datum 1927,United States,Utah,San Juan County,,,"San Juan River, at confluence of Recapture Creek, 7.7 miles upstream of the Sand Island Campground docking area, off UT State HWY 163.",,.02 meters-.52 meters,2011,06,15,"Collector(s): W. H. Brandenburg, Jennifer Hester",not recorded,,PreservedSpecimen,"San Juan River 2011 Larval Razorback Sucker Survey; verbatim collectors: W. Howard Brandenburg, Jennifer L. Hester; Monitoring site",2019-05-27 07:14:55.0
MSB,Fish specimens,MSB:Fish:54086,3,Xyrauchen texanus,Catostomidae,"whole organism (formalin-fixed, 70% ethanol)",,37.2574555,-109.3004675,,North American Datum 1927,United States,Utah,San Juan County,,,"San Juan River, 6.6 miles downstream of Aneth.",,.05 meters-.39 meters,2002,06,13,"Collector(s): Michael A. Farrington, W. H. Brandenburg",not recorded,,PreservedSpecimen,"Kind_Type: VIAL JAR; Calcfld: 81-Z5; Storage: 70% EtOH, 81-Z5; Used in ACC2012-VII:9 SJR Catostomid Opercal Deformity Study",2019-05-27 03:26:42.0
MSB,Fish specimens,MSB:Fish:74174,1,Xyrauchen texanus,Catostomidae,whole organism (95% ethanol),,37.2240731,-109.6722404,,North American Datum 1927,United States,Utah,San Juan County,,,"San Juan River, 4.9 miles downstream of the Sand Island Campground docking area, off UT State HWY 163.",,.01 meters-.41 meters,2009,06,19,"Collector(s): Michael A. Farrington, John P. Larson",not recorded,,PreservedSpecimen,"San Juan River 2009 Larval Razorback Sucker Survey; verbatim collectors: Michael A. Farrington, John P. Larson",2019-05-27 07:14:39.0
MSB,Fish specimens,MSB:Fish:70363,2,Xyrauchen texanus,Catostomidae,"whole organism (formalin-fixed, 70% ethanol)",,37.2838581,-110.3491933,,North American Datum 1927,United States,Utah,San Juan County,,,"San Juan River, 2.5 miles upstream of Clay Hills, where Recreation Road 430 or Whirlwind Crossing meets the river, 11.0 miles from UT State HWY 263.",,.06 meters-.34 meters,2008,05,22,"Collector(s): Michael A. Farrington, W. H. Brandenburg",not recorded,,PreservedSpecimen,"ASIR San Juan River 2008 Larval Razorback Sucker Survey; verbatim collectors: Michael A. Farrington, W. Howard Brandenburg",2019-05-27 05:38:25.0
MSB,Fish specimens,MSB:Fish:48846,1,Xyrauchen texanus,Catostomidae,"whole organism (formalin-fixed, 70% ethanol)",,37.317516,-110.170707,,North American Datum 1927,United States,Utah,San Juan County,,,"San Juan River, 13.5 miles upstream of Clay Hills, where Recreation Road 430 or Whirlwind Crossing meets the river, 11.0 miles from UT State HWY 263.",,,2001,05,18,"Collector(s): W. H. Brandenburg, Donald E. Gibson",not recorded,,PreservedSpecimen,"MSB San Juan River 2001 Larval Razorback Sucker Study; verbatim collectors: W. Howard Brandenburg, Donald E. Gibson",2019-05-27 04:46:02.0
MSB,Fish specimens,MSB:Fish:95075,19,Xyrauchen texanus,Catostomidae,whole organism (95% ethanol),,36.926459,-108.950105,,North American Datum 1927,United States,New Mexico,San Juan County,,,"San Juan River, 5.5 miles upstream of the Mancos River confluence.",,.35 meters,2013,05,21,"Collector(s): W. H. Brandenburg, Steven P. Platania",not recorded,,PreservedSpecimen,"San Juan River 2013 Larval Fishes Survey; verbatim collectors: W. Howard Brandenburg, Steven P. Platania; RERI site",2019-05-27 07:26:35.0
MSB,Fish specimens,MSB:Fish:59056,19,Xyrauchen texanus,Catostomidae,"whole organism (formalin-fixed, 70% ethanol)",,37.2980654,-110.2589562,,North American Datum 1927,United States,Utah,San Juan County,,,"San Juan River, 8.5 miles upstream of Clay Hills, where Recreation Road 430 or Whirlwind Crossing meets the river, 11.0 miles from UT State HWY 263.",,.04 meters-1 meter,2003,05,22,"Collector(s): Michael A. Farrington, Conner C. McBride, Megan A. Krispinsky",not recorded,,PreservedSpecimen,"MSB San Juan River Razorback Sucker 2003 Survey; verbatim collectors: Michael A. Farrington, Conner C. McBride, Megan A. Krispinsky",2019-05-27 02:53:27.0
MSB,Fish specimens,MSB:Fish:81540,18,Xyrauchen texanus,Catostomidae,whole organism (95% ethanol),,37.18202645,-109.7857308,,North American Datum 1927,United States,Utah,San Juan County,,,"San Juan River, 8.3 miles upstream of Mexican Hat raft pull out area.",,.03 meters-.2 meters,2010,05,21,"Collector(s): Michael A. Farrington, Lee E. Renfro, Jennifer Hester",not recorded,,PreservedSpecimen,"San Juan River 2010 Razorback Sucker Larval Survey; verbatim collectors: Michael A. Farrington, Lee E. Renfro, Jennifer L. Hester",2019-05-27 05:56:04.0
MSB,Fish specimens,MSB:Fish:81570,22,Xyrauchen texanus,Catostomidae,whole organism (95% ethanol),,37.2142479,-109.9868615,,North American Datum 1927,United States,Utah,San Juan County,,,"San Juan River, 19.3 miles downstream of Mexican Hat raft pull out area.",,.03 meters-.23 meters,2010,05,18,"Collector(s): W. H. Brandenburg, Adam Barkalow, Mary A. Brandenburg",not recorded,,PreservedSpecimen,"San Juan River 2010 Razorback Sucker Larval Survey; verbatim collectors: W. Howard Brandenburg, Adam L. Barkalow, Mary A. Brandenburg; Site mapped with ranger GPS",2019-05-27 07:55:14.0
MSB,Fish specimens,MSB:Fish:87965,1,Xyrauchen texanus,Catostomidae,whole organism (95% ethanol),,36.8834653,-108.8293752,,North American Datum 1927,United States,New Mexico,San Juan County,,,"San Juan River, 11.5 miles downstream from Shiprock bridge or where US HWY 64 crosses the river.",,.01 meters-.29 meters,2012,06,11,"Collector(s): Michael A. Farrington, Stephen A. Zipper",not recorded,,PreservedSpecimen,"San Juan River 2012 Larval Fish Surveys; verbatim collectors: Michael A. Farrington, Stephen A. Zipper",2019-05-27 05:28:30.0
MSB,Fish specimens,MSB:Fish:95086,43,Xyrauchen texanus,Catostomidae,whole organism (95% ethanol),,36.9506004,-108.9977122,,North American Datum 1927,United States,New Mexico,San Juan County,,,"San Juan River, 2.2 miles upstream of the Mancos River confluence.",,.32 meters,2013,05,21,"Collector(s): W. H. Brandenburg, Steven P. Platania",not recorded,,PreservedSpecimen,"San Juan River 2013 Larval Fishes Survey; verbatim collectors: W. Howard Brandenburg, Steven P. Platania; monitoring site",2019-05-27 07:31:29.0
MSB,Fish specimens,MSB:Fish:95241,15,Xyrauchen texanus,Catostomidae,whole organism (95% ethanol),,37.28250109,-110.3597364,,North American Datum 1927,United States,Utah,San Juan County,,,"San Juan River, 2.2 miles upstream of Clay Hills, where Recreation Road 430 or Whirlwind Crossing meets the river, 11.0 miles from UT State HWY 263.",,.4 meters,2013,06,13,"Collector(s): W. H. Brandenburg, Jennifer Hester",not recorded,,PreservedSpecimen,"Kind_Type: VIAL JAR; Calcfld: 81-P10; Storage: 95% EtOH, 81-P10; 1797, 1798; Photograph number: 1797, 1798",2019-05-27 07:35:57.0
MSB,Fish specimens,MSB:Fish:87938,3,Xyrauchen texanus,Catostomidae,whole organism (95% ethanol),,37.28110881,-109.4784362,,North American Datum 1927,United States,Utah,San Juan County,,,"San Juan River, 7.3 miles upstream of the Sand Island Campground docking area, off UT State HWY 163.",,.01 meters-.48 meters,2012,05,17,"Collector(s): Jennifer Hester, Bruce L. Christman",not recorded,,PreservedSpecimen,"San Juan River 2012 Larval Fish Surveys; verbatim collectors: Jennifer L. Hester, Bruce L. Christman",2019-05-27 05:56:15.0
MSB,Fish specimens,MSB:Fish:63575,1,Xyrauchen texanus,Catostomidae,"whole organism (formalin-fixed, 70% ethanol)",,36.8719258,-108.7973588,,North American Datum 1927,United States,New Mexico,San Juan County,,,"San Juan River, 9.7 miles downstream from Shiprock bridge or where US HWY 64 crosses the river.",,.26 meters,2007,06,12,"Collector(s): Conner C. McBride, Austin L. Fitzgerald",not recorded,,PreservedSpecimen,"ASIR San Juan River 2007 Larval Razorback Sucker Survey; verbatim collectors: Conner C. McBride, Austin L. Fitzgerald",2019-05-27 07:15:42.0
MSB,Fish specimens,MSB:Fish:63639,2,Xyrauchen texanus,Catostomidae,"whole organism (formalin-fixed, 70% ethanol)",,37.1708149,-109.161877,,North American Datum 1927,United States,Utah,San Juan County,,,"San Juan River, 3.7 miles upstream of Aneth.",,.64 meters,2007,06,14,"Collector(s): Conner C. McBride, Austin L. Fitzgerald",not recorded,,PreservedSpecimen,"ASIR San Juan River 2007 Larval Razorback Sucker Survey; verbatim collectors: Conner C. McBride, Austin L. Fitzgerald",2019-05-27 07:06:43.0
MSB,Fish specimens,MSB:Fish:95169,6,Xyrauchen texanus,Catostomidae,whole organism (95% ethanol),,37.19858744,-109.7159781,,North American Datum 1927,United States,Utah,San Juan County,,,"San Juan River, 7.7 miles downstream of the Sand Island Campground docking area, off UT State HWY 163.",,.49 meters,2013,06,10,"Collector(s): W. H. Brandenburg, Jennifer Hester",not recorded,,PreservedSpecimen,"San Juan River 2013 Larval Fishes Survey; verbatim collectors: W. Howard Brandenburg, Jennifer L. Hester",2019-05-27 07:31:29.0
MSB,Fish specimens,MSB:Fish:86087,4,Xyrauchen texanus,Catostomidae,whole organism (95% ethanol),,37.279238,-109.416375,,North American Datum 1927,United States,Utah,San Juan County,,,"San Juan River, 11.0 miles upstream of the Sand Island Campground docking area, off UT State HWY 163.",,.03 meters-.33 meters,2011,05,18,"Collector(s): W. H. Brandenburg, Adam Barkalow",not recorded,,PreservedSpecimen,"San Juan River 2011 Larval Razorback Sucker Survey; verbatim collectors: W. Howard Brandenburg, Adam L. Barkalow",2019-05-27 07:06:01.0
MSB,Fish specimens,MSB:Fish:97632,1,Xyrauchen texanus,Catostomidae,whole organism (95% ethanol),,37.265146,-109.572054,,North American Datum 1927,United States,Utah,San Juan County,,,"San Juan River, 2.3 miles upstream of the Sand Island Campground docking area, off UT State HWY 163.",,.38 meters,2014,06,26,"Collector(s): W. H. Brandenburg, Rachel E. Grey",not recorded,,PreservedSpecimen,"San Juan River 2014 Larval Colorado Pikeminnow and Razorback Sucker Survey; verbatim collectors: W. Howard Brandenburg, Rachel E. Grey",2019-05-27 05:52:06.0
MSB,Fish specimens,MSB:Fish:97923,13,Xyrauchen texanus,Catostomidae,whole organism (95% ethanol),,37.277629,-109.504854,,North American Datum 1927,United States,Utah,San Juan County,,,"San Juan River, 6.0 miles upstream of the Sand Island Campground docking area, off UT State HWY 163.",,.27 meters,2014,05,22,"Collector(s): Michael A. Farrington, Tracy A. Diver",not recorded,,PreservedSpecimen,"San Juan River 2014 Larval Colorado Pikeminnow and Razorback Sucker Survey; verbatim collectors: Michael A. Farrington, Tracy A. Diver",2019-05-27 05:36:50.0
MSB,Fish specimens,MSB:Fish:73958,8,Xyrauchen texanus,Catostomidae,whole organism (95% ethanol),,37.2846954,-109.4717914,,North American Datum 1927,United States,Utah,San Juan County,,,"San Juan River, 7.7 miles upstream of the Sand Island Campground docking area, off UT State HWY 163, at Recapture Creek.",,.3 meters-15 meters,2009,05,21,"Collector(s): W. H. Brandenburg, Adam Barkalow",not recorded,,PreservedSpecimen,"Kind_Type: VIAL JAR; Calcfld: 81-F8; Storage: 95% EtOH, 81-F8; 151; Photograph number: 151; Protolarvae and mesolarvae",2019-05-27 07:05:50.0
MSB,Fish specimens,MSB:Fish:85910,22,Xyrauchen texanus,Catostomidae,whole organism (95% ethanol),,37.316698,-110.147973,,North American Datum 1927,United States,Utah,San Juan County,,,"San Juan River, at Slickhorn Canyon, 14.8 miles upstream of Clay Hills, where Recreation Road 430 or Whirlwind Crossing meets the river, 11.0 miles from UT State HWY 263.",,.03 meters-.9 meters,2011,05,19,"Collector(s): Michael A. Farrington, Jennifer Hester",not recorded,,PreservedSpecimen,"Kind_Type: VIAL JAR; Calcfld: 81-O8; Storage: 95% EtOH, 81-O8; 1176; Monitoring site; Photograph number: 1176; Used in ACC2012-VII:9 SJR Catostomid Opercal Deformity Study",2019-05-27 07:31:16.0
MSB,Fish specimens,MSB:Fish:58595,6,Xyrauchen texanus,Catostomidae,"whole organism (formalin-fixed, 70% ethanol)",,37.241601,-109.250377,,North American Datum 1927,United States,Utah,San Juan County,,,"San Juan River, 3.6 miles downstream of Aneth.",,.01 meters-.12 meters,2003,05,16,"Collector(s): W. H. Brandenburg, Conner C. McBride",not recorded,,PreservedSpecimen,"Kind_Type: VIAL JAR; Calcfld: 81-Z5; Storage: 70% EtOH, 81-Z5; Used in ACC2012-VII:9 SJR Catostomid Opercal Deformity Study",2019-05-27 03:14:54.0
MSB,Fish specimens,MSB:Fish:86075,6,Xyrauchen texanus,Catostomidae,whole organism (95% ethanol),,37.24851,-109.257342,,North American Datum 1927,United States,Utah,San Juan County,,,"San Juan River, 4.2 miles downstream of Aneth.",,.08 meters-.24 meters,2011,05,18,"Collector(s): W. H. Brandenburg, Adam Barkalow",not recorded,,PreservedSpecimen,"San Juan River 2011 Larval Razorback Sucker Survey; verbatim collectors: W. Howard Brandenburg, Adam L. Barkalow; Monitoring site",2019-05-27 07:38:11.0
MSB,Fish specimens,MSB:Fish:61320,2,Xyrauchen texanus,Catostomidae,"whole organism (formalin-fixed, 70% ethanol)",,37.2735966,-109.4466062,,North American Datum 1927,United States,Utah,San Juan County,,,"San Juan River, 9.2 miles upstream of the Sand Island Campground docking area, off UT State HWY 163.",,.25 meters,2006,05,25,"Collector(s): W. H. Brandenburg, Michael A. Farrington",not recorded,,PreservedSpecimen,"ASIR San Juan River 2006 Larval Razorback Sucker Survey; verbatim collectors: W. Howard Brandenburg, Michael A. Farrington",2019-05-27 05:42:46.0
MSB,Fish specimens,MSB:Fish:81518,1,Xyrauchen texanus,Catostomidae,whole organism (95% ethanol),,37.25004481,-109.6214198,,North American Datum 1927,United States,Utah,San Juan County,,,"San Juan River, 0.9 miles downstream of the Sand Island Campground docking area, off UT State HWY 163.",,.04 meters-.63 meters,2010,05,20,"Collector(s): Michael A. Farrington, Lee E. Renfro, Jennifer Hester",not recorded,,PreservedSpecimen,"San Juan River 2010 Razorback Sucker Larval Survey; verbatim collectors: Michael A. Farrington, Lee E. Renfro, Jennifer L. Hester",2019-05-27 08:10:23.0
MSB,Fish specimens,MSB:Fish:97842,1,Xyrauchen texanus,Catostomidae,whole organism (95% ethanol),,37.239745,-109.250253,,North American Datum 1927,United States,Utah,San Juan County,,,"San Juan River, 3.6 miles downstream of Aneth.",,.38 meters,2014,04,23,"Collector(s): Michael A. Farrington, Tracy A. Diver, Rachel E. Grey",not recorded,,PreservedSpecimen,"San Juan River 2014 Larval Colorado Pikeminnow and Razorback Sucker Survey; verbatim collectors: Michael A. Farrington, Tracy A. Diver, Rachel E. Grey",2019-05-27 05:36:49.0
MSB,Fish specimens,MSB:Fish:69680,1,Catostomus latipinnis x Xyrauchen texanus,Catostomidae,"whole organism (formalin-fixed, 70% ethanol)",,40.52176,-109.154277,,World Geodetic System 1984,United States,Utah,Uintah County,,,"Utah: Uintah Co., Green R. at Island Park. Collector(s): CD Vanicek",,,1964,09,08,"Collector(s): C. D. Vanicek, USGS Biological Survey Fort Collins",not recorded,,PreservedSpecimen,"USGS Fort Collins CO Biological Survey Collections; verbatim collectors: C. D. Vanicek, USGS Biological Survey Fort Collins",2019-05-27 04:34:19.0
MSB,Fish specimens,MSB:Fish:69681,1,Catostomus latipinnis x Xyrauchen texanus,Catostomidae,"whole organism (formalin-fixed, 70% ethanol)",,40.52176,-109.154277,,World Geodetic System 1984,United States,Utah,Uintah County,,,"Utah: Uintah Co., Green R. at Island Park. Collector(s): CD Vanicek",,,1966,06,01,"Collector(s): C. D. Vanicek, USGS Biological Survey Fort Collins",not recorded,,PreservedSpecimen,"USGS Fort Collins CO Biological Survey Collections; verbatim collectors: C. D. Vanicek, USGS Biological Survey Fort Collins; collected in June 1966",2019-05-27 04:34:20.0
